Employee_ID,Age,Gender,Education_Level,Experience_Years,Job_Role,Department,Location,Work_Mode,Performance_Rating,Overtime,Salary
EMP0001,35,Male,Bachelor,7,Content Writer,Marketing,Pune,Hybrid,3,No,736050
EMP0002,49,Male,Bachelor,14,Content Writer,Marketing,Bangalore,Hybrid,5,Yes,1398725
EMP0003,39,Male,Bachelor,15,HR Executive,HR,Mumbai,Office,3,No,1277748
EMP0004,47,Female,Master,6,Network Engineer,IT,Chennai,Office,3,Yes,854144
EMP0005,32,Male,Master,11,AI Engineer,AI,Mumbai,Office,3,No,1159491
EMP0006,40,Female,Bachelor,19,Data Scientist,Analytics,Mumbai,Hybrid,3,Yes,1665389
EMP0007,23,Male,Bachelor,2,Data Scientist,Analytics,Bangalore,Office,5,Yes,563003
EMP0008,35,Female,Bachelor,14,Software Engineer,IT,Mumbai,Remote,3,No,1257549
EMP0009,29,Female,Bachelor,8,AI Engineer,AI,Mumbai,Hybrid,4,No,850467
EMP0010,47,Male,Bachelor,2,System Administrator,IT,Delhi,Office,3,Yes,392507
EMP0011,34,Female,PhD,13,ML Engineer,AI,Mumbai,Office,5,Yes,1584229
EMP0012,49,Male,PhD,17,Recruiter,HR,Pune,Office,3,No,1711691
EMP0013,25,Female,Bachelor,4,Recruiter,HR,Chennai,Remote,3,Yes,547967
EMP0014,26,Male,Master,5,Cloud Engineer,IT,Hyderabad,Remote,3,No,716930
EMP0015,29,Male,Bachelor,8,Data Analyst,Analytics,Pune,Hybrid,5,No,956838
EMP0016,42,Female,Bachelor,19,Data Analyst,Analytics,Hyderabad,Office,5,No,1757580
EMP0017,30,Male,Master,9,Content Writer,Marketing,Hyderabad,Remote,4,Yes,1077912
EMP0018,47,Female,Master,2,QA Engineer,IT,Bangalore,Remote,4,Yes,528100
EMP0019,49,Male,Bachelor,20,Network Engineer,IT,Chennai,Office,3,Yes,1736516
EMP0020,26,Male,Bachelor,5,Senior Manager,Management,Pune,Hybrid,3,Yes,1037924
EMP0021,22,Male,Master,1,DevOps Engineer,IT,Chennai,Hybrid,3,Yes,452024
EMP0022,39,Male,Bachelor,8,Senior Manager,Management,Bangalore,Hybrid,3,Yes,1219058
